Município de residência,Rio de Janeiro,Duque de Caxias,São João de Meriti,Belford Roxo,Nilópolis,Mesquita,Nova Iguaçu,Queimados,Japeri,Paracambi,Seropédica,Itaguaí,Magé,Guapimirim,Niterói,São Gonçalo,Itaboraí,Tanguá,Maricá
Rio de Janeiro,0.98,0.005,0.001,0.0,0.001,0.0,0.002,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.003,0.0,0.0,0.0,0.0
Duque de Caxias,0.25,0.73,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
São João de Meriti,0.4,0.06,0.5,0.01,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Belford Roxo,0.35,0.07,0.04,0.46,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nilópolis,0.42,0.02,0.02,0.01,0.47,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Mesquita,0.39,0.02,0.02,0.02,0.06,0.38,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Iguaçu,0.3,0.01,0.01,0.01,0.01,0.01,0.62,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Queimados,0.37,0.01,0.01,0.01,0.01,0.01,0.08,0.49,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Japeri,0.44,0.01,0.0,0.0,0.01,0.01,0.06,0.02,0.42,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paracambi,0.11,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.01,0.79,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seropédica,0.19,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.72,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itaguaí,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magé,0.19,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.01,0.01,0.01,0.0,0.0,0.0
Guapimirim,0.09,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.77,0.01,0.01,0.0,0.0,0.0
Niterói,0.24,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.04,0.0,0.0,0.0
São Gonçalo,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.61,0.01,0.0,0.0
Itaboraí,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.11,0.62,0.0,0.0
Tanguá,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.06,0.13,0.67,0.0
Maricá,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.04,0.0,0.0,0.69
